"","x"
"676","FBgn0262981"
"677","FBgn0030952"
"678","FBgn0030979"
"679","FBgn0030982"
"680","FBgn0030983"
"681","FBgn0262905"
"682","FBgn0031026"
"683","FBgn0026174"
"684","FBgn0031074"
"685","FBgn0267045"
"686","FBgn0085361"
"687","FBgn0067861"
"688","FBgn0283434"
"689","FBgn0053499"
"690","FBgn0260867"
"691","FBgn0027107"
"692","FBgn0031101"
"693","FBgn0031104"
"694","FBgn0040651"
"695","FBgn0040648"
"696","FBgn0031155"
"697","FBgn0003950"
"698","FBgn0266647"
"699","FBgn0267055"
"700","FBgn0267062"
"701","FBgn0031169"
"702","FBgn0040028"
"703","FBgn0031197"
"704","FBgn0031201"
"705","FBgn0267058"
"706","FBgn0267433"
"707","FBgn0267489"
"708","FBgn0267432"
"709","FBgn0001313"
"710","FBgn0046697"
"711","FBgn0267449"
"712","FBgn0265047"
"713","FBgn0046323"
"714","FBgn0040038"
"715","FBgn0260870"
"716","FBgn0262980"
"717","FBgn0267182"
"718","FBgn0031082"
"719","FBgn0029812"
"720","FBgn0262874"
"721","FBgn0052651"
"722","FBgn0040784"
"723","FBgn0030840"
"724","FBgn0029729"
"725","FBgn0267077"
"726","FBgn0031139"
"727","FBgn0029951"
"728","FBgn0265417"
"729","FBgn0040871"
"730","FBgn0030563"
"731","FBgn0042146"
"732","FBgn0025378"
"733","FBgn0030905"
"734","FBgn0267962"
"735","FBgn0262163"
"736","FBgn0085464"
"737","FBgn0259196"
"738","FBgn0259195"
"739","FBgn0067052"
"740","FBgn0036599"
"741","FBgn0266781"
"742","FBgn0267224"
"743","FBgn0267547"
"744","FBgn0035426"
"745","FBgn0053271"
"746","FBgn0036161"
"747","FBgn0037197"
"748","FBgn0262969"
"749","FBgn0004589"
"750","FBgn0265732"
"751","FBgn0036160"
"752","FBgn0262892"
"753","FBgn0265892"
"754","FBgn0053061"
"755","FBgn0262894"
"756","FBgn0267933"
"757","FBgn0035737"
"758","FBgn0052488"
"759","FBgn0265738"
"760","FBgn0262998"
"761","FBgn0267642"
"762","FBgn0265751"
"763","FBgn0265728"
"764","FBgn0037180"
"765","FBgn0058053"
"766","FBgn0036109"
"767","FBgn0036153"
"768","FBgn0264722"
"769","FBgn0028667"
"770","FBgn0028668"
"771","FBgn0265754"
"772","FBgn0265881"
"773","FBgn0265882"
"774","FBgn0036325"
"775","FBgn0266957"
"776","FBgn0265884"
"777","FBgn0004372"
"778","FBgn0052086"
"779","FBgn0266973"
"780","FBgn0052487"
"781","FBgn0265893"
"782","FBgn0263618"
"783","FBgn0040801"
"784","FBgn0267950"
"785","FBgn0267960"
"786","FBgn0266961"
"787","FBgn0266968"
"788","FBgn0035970"
"789","FBgn0267550"
"790","FBgn0036605"
"791","FBgn0266964"
"792","FBgn0267716"
"793","FBgn0262020"
"794","FBgn0086916"
"795","FBgn0036608"
"796","FBgn0267935"
"797","FBgn0264346"
"798","FBgn0264367"
"799","FBgn0032966"
"800","FBgn0052463"
"801","FBgn0267255"
"802","FBgn0266824"
"803","FBgn0032369"
"804","FBgn0266873"
"805","FBgn0025115"
"806","FBgn0263657"
"807","FBgn0262355"
"808","FBgn0267271"
"809","FBgn0266840"
"810","FBgn0263985"
"811","FBgn0265828"
"812","FBgn0262786"
"813","FBgn0267290"
"814","FBgn0266038"
"815","FBgn0266902"
"816","FBgn0265585"
"817","FBgn0265817"
"818","FBgn0265943"
"819","FBgn0028900"
"820","FBgn0032625"
"821","FBgn0264890"
"822","FBgn0265543"
"823","FBgn0032094"
"824","FBgn0058172"
"825","FBgn0041103"
"826","FBgn0264261"
"827","FBgn0265826"
"828","FBgn0054049"
"829","FBgn0032294"
"830","FBgn0264263"
"831","FBgn0266306"
"832","FBgn0028520"
"833","FBgn0032065"
"834","FBgn0264867"
"835","FBgn0261523"
"836","FBgn0264868"
"837","FBgn0267261"
"838","FBgn0263658"
"839","FBgn0032967"
"840","FBgn0261924"
"841","FBgn0265547"
"842","FBgn0040509"
"843","FBgn0265812"
"844","FBgn0250817"
"845","FBgn0028884"
"846","FBgn0265548"
"847","FBgn0266833"
"848","FBgn0264885"
"849","FBgn0264366"
"850","FBgn0266225"
"851","FBgn0267004"
"852","FBgn0283728"
"853","FBgn0265586"
"854","FBgn0266831"
"855","FBgn0262963"
"856","FBgn0266832"
"857","FBgn0261571"
"858","FBgn0262356"
"859","FBgn0266834"
"860","FBgn0266070"
"861","FBgn0264992"
"862","FBgn0051784"
"863","FBgn0265958"
"864","FBgn0266823"
"865","FBgn0264436"
"866","FBgn0265148"
"867","FBgn0266221"
"868","FBgn0266165"
"869","FBgn0266163"
"870","FBgn0264262"
"871","FBgn0261806"
"872","FBgn0263764"
"873","FBgn0032968"
"874","FBgn0266039"
"875","FBgn0266155"
"876","FBgn0028852"
"877","FBgn0031621"
"878","FBgn0032366"
"879","FBgn0267209"
"880","FBgn0039368"
"881","FBgn0267110"
"882","FBgn0266255"
"883","FBgn0284417"
"884","FBgn0265382"
"885","FBgn0262025"
"886","FBgn0039435"
"887","FBgn0038512"
"888","FBgn0261395"
"889","FBgn0284418"
